Name,Friend Count,Photo Count,Review Count,Elite Member,Funny Count,Cool Count,Useful Count,Review Stars,Review Length,Reviews
Kaitlynn L.,0,0,2,0,2,0,1,1,1831,"[<p lang=""en"">My experience here last week was very awful. \xa0I too was met by Julia Yi who was clearly on drugs. \xa0She was sticking her tongue out at me dropping things and keeping me in the store more than I should be there. \xa0She sprayed my tissue paper with the perfume I liked to put inside the box. \xa0Then she left the box on the side and took out more tissue paper this time she put body creme all over the tissue paper and put it into my bag. \xa0Then she realized she had forgotten my box outside so she stuff and squished it inside the bag then she looked at me and realize the paper is not sticking out anymore. \xa0Then she went to grab more paper and splatter more body creme on there. \xa0I told her please that is ok and she even gave me an attitude saying if I was in a hurry then why didn't I let her know instead of staying in their store for so long?? \xa0WTH?!?!?! \xa0She was dropping things and then laughing telling me boxes are flying tonight. \xa0Her speech was very incoherent. \xa0This is the worst customer service I have ever encountered and at JO MALONE??? \xa0She literally made me so uncomfortable and anxious when she was holding the scissors and cutting the ribbons and sticking out her tongue like she was high. \xa0It was very obvious that she was having a very bad trip. \xa0When she asked for my phone number I had to read it to her 8 times and she still didn't get it. \xa0Then she got mad at me and ask me why am I trying to confuse her? \xa0I was literally anxious being the only customer there I wanted to just take off and leave. \xa0Luckily my bf was there too and he ask for a gift receipt. \xa0She told him we don't do gift receipts but here I'll give it to you anyway. \xa0Then she printed out another receipt with the prices on there and said that's the gift receipt. \xa0WORST EXPERIENCE EVER!!!</p>]"
Barbara B.,14,0,23,0,0,0,3,3,445,"[<p lang=""en"">Three stars because the product is yummy. An expensive treat. The free standing store on the second floor of South Coast Plaza was not a pleasant experience. We came n there was no other person in the shop and the salesperson seemed put out with any questions we had. It was uncomfortable to say the least. We left and ended up making our purchase at Nordstrom. I was pleased to find that Nordstrom has their own Jo Malone store</p>]"
AJ K.,158,873,298,0,0,1,3,5,457,"[<p lang=""en"">Still amazing.<br/><br/>I had an older bottle of JM's lime mandarin basil that I hardly used. \xa0It just didn't smell the same way on me as when I first bought it. \xa0I mentioned it in passing to the sales assistant and she told me I could bring it back. So I did. \xa0WOW~ they were very nice and professional about it. \xa0I felt bad at first but I realized this is how firmly they believe in their product. \xa0See~ I told you still amazing.</p>]"
Shawn W.,38,0,33,0,0,0,1,5,529,"[<p lang=""en"">Ok Really!!!!! I am soo addicted to this line of fragrance!!!!! I can not stop buying all scents!!! I started w/ Lime Basil &amp; Mandarin and been using it years tried Orange Blossom Loved it! Now \xa0I am buying two bottles a month!!! I LOVE em all!!! There should be a J.M.A.A. (Jo Malone Addicts anonymous) not that I'd go! Thee only scent I dont like at all is Verbenas of Provence. Other than that I adore the rest. Can not wait for Wild Bluebell! Saw the ingredients and heard the scent is to die for!!!</p>]"
Zizi B.,993,30,239,0,4,3,6,5,668,"[<p lang=""en"">I love this place. Not so much the store as the product. The store is nice and the salespeople always seem to be friendly and helpful. Jo Malone makes very nicely scented perfumes body lotions soaps candles etc. <br/><br/>My first favorite was the Orange Blossom now I adore the Red Roses. It smells just like Persian rose water not rose perfume. I never recommend giving someone perfume for a gift unless you specifically know what they want or like since it's so personal and everyone's tastes are different... but a gift from this store would be excellent. Once again I like the Orange Blossom and the Red Roses most and my address is...</p>]"
Susan C.,30,26,133,0,0,0,0,5,344,"[<p lang=""en"">Don't know where to start I wish there was another location closer to me but the free shipping helps! Also some Nordies carry the line. I love love love Jo Malone. The worst part about it is that I can't decide what scent I love best oh well guess I'll collect them all. The service is great and scents are just heavenly!</p>]"
Shannon N.,85,44,23,0,0,0,0,5,203,"[<p lang=""en"">One of my favorite places to stroll by Kristen and Elizabeth both amazing managers make each of my experiences unparrallel to any other fine shopping experience!! Go see for yourself!!</p>]"
Claire M.,270,28,218,0,4,1,0,4,1287,"[<p lang=""en"">Jo Malone is an addiction I really can't afford but I buy the stuff anyway because well it's an addiction. \xa0And pb&amp;j sandwiches for lunch for a week is well worth the sacrifice to get another one of these babies...<br/><br/>A friend turned me on to JM about a year ago when her aunt bought her some scents and I went into the SCP store knowing nothing about any of their fragrances. \xa0The clerk spent about half an hour with me letting me smell everything layering different combinations and really listening to my feedback until we arrived at my perfect persnal combo: Blue Agave &amp; Cacao and Pomegranate Noir.<br/><br/>A few months later I added Nectarine Blossom &amp; Honey. \xa0Yum!<br/><br/>I went back Friday just to see if they had anything new and the clerk was very snotty didn't suggest anything new to layer with my perfumes and basically made me feel like I was invading her giggle time with the other clerks. Minus two stars.<br/><br/>Then JM earned back a star Saturday night because I wore the first two perfumes layered together and I've never received so many compliments. \xa0Women and men were shoving their noses into the nape of my neck to try to guess the scents... Good times for the whole family! \xa0And a fourth star earned for JM.</p>]"
Lena B.,405,7,631,0,8,7,8,4,934,"[<p lang=""en"">i knew what i wanted so i picked up a bottle of grapefruit cologne waited in line to pay and overheard this conversation. <br/><br/>sales person: ""will this be a gift?"" <br/>customer: ""it will be for me...when my wife wears it!"" <br/><br/>awww...what a lovely man. it is so true. when you buy a product of jo malone for that special someone consider it as a gift for yourself as well. the sweet fresh and classy aroma will not only allure your olfactory but all five senses. <br/><br/>this is a pretty small store with many bottles layed out in front of the store to be sampled so expect quite a heavy foot traffic. i never got that warm appreciative attitude from the sales person who helped me (not the cashier aforementioned). <br/><br/>i can't wait to give this bottle of jo malone and see her face lit up. after all christmas is about spirit of giving and sharing. <br/><br/>merry christmas to you all!!!</p>]"
Sheila A.,0,2,16,0,1,0,1,4,601,"[<p lang=""en"">I love Jo Malone. \xa0If \xa0I could buy more products I would but I can't. \xa0I am religious about buying my Amber and Lavender bath oil. \xa0Gotta have that. \xa0Just slap it on after a shower and i smell great. \xa0I have gotten lots of complements. \xa0 \xa0There are other scents I love such as the Nectarine and the living spray which has a citrus scent. \xa0<br/>I have mixed feelings about the staff. \xa0Sometimes they are so kissy-kissy sweet and other times you wonder who woke up on the wrong side of the bed: \xa0me or them. \xa0<br/>I love their products so I brave the schizophrenic service.</p>]"
Ginnie C.,32,3,22,0,0,1,0,5,652,"[<p lang=""en"">I am in love! <br/><br/>It's the art of fragrance combining and a very chic boutique!<br/><br/>So far I have purchased; Vintage Gardenia and Wild Fig and Cassia. The deal is to mix a couple bottles and make your own scent. Once your concoction mingles with your own pheromones you are for sure going to have a starry eyed beau asking; ""What are you wearing tonight? It is delicious!"" Then comes the ravishing! <br/> <br/>Also I just purchased a wedding gift here; Scent an Event candles. I hope she is going to love them! I do! I always light mine for a dinner party and every guest inquires! <br/><br/>A little expensive. But so fun!</p>]"
Tammi P.,13,2,49,0,0,0,0,5,290,"[<p lang=""en"">The ladies that work here are awesome! I organized a work event here and they were immensely helpful and so kind even when I had to change the date several times! We spent a couple hours sniffing all the different amazing fragrances and everyone was so patient with us.</p>]"
Nuri K.,65,12,271,0,3,0,1,3,498,"[<p lang=""en"">Please note that <a href=""/redir?url=http%3A%2F%2Fjomalone.com&amp;s=ebeec83b6e2ab1d8b7ed4cf23f0ff45508b7506903469dfbbdf894b981f58f98"" rel=""nofollow"" target=""_blank"">jomalone.com</a> is having a Friends &amp; Family Event valid only from 2/10-2/11 via the website only. Receive 25% off all online purchases; and I believe all of the online services come with complimentary shipping. Five stars for the sale; minus two for the destitution that will keep me from cashing in on this.</p>]"
Mara S.,27,14,19,0,1,1,1,5,797,"[<p lang=""en"">the last thing I wanted to do after work was get a gift card for a coworkers bday basket...at south coast...in jeans and a ratty tshirt. \xa0after walking all the way to the ""luxury section"" (the sales lady's words) I finally found it. \xa0after greeting me \xa0i told her what I needed and asked for a cute little box to help fill out the basket. \xa0not only did she give me a box she gave me stationary to write a bday message 6 different sample fragrances complete with their own mini boxes then she wrapped a bow around said box placed it in a bag and put a bow on that as well! THEN yes there's more...she gave me free samples for myself as well! \xa0she went above and beyond for a measly $25 gift card sale. \xa0wish i could remember her name but it's ok cause I'll be back!</p>]"
Lesley M.,0,0,58,0,0,0,1,5,354,"[<p lang=""en"">Very pricey but always gorgeous. I'm from the UK and have been a fan of JM for years (thank God she opened at SCP)... Recently bought a candle for a friend here and it made her day/week/month! <br/><br/>Some of the scents can be a bit grandma-like but Tuberose never goes out of fashion and White Jasmine and Mint is great for summer.</p>]"
