Location,lat,lng,Original_Location
"237 Holland St, Somerville, MA 02144, USA",42.4026981,-71.1267738,"BOSTON, MA / ISTANBUL"
"Metro Manila, Philippines",14.6090537,121.0222565,METRO MANILA
"London, UK",51.5073509,-0.1277583,"LONDON, ENGLAND"
"Kansas, USA",39.011902,-98.4842465,KANSAS
"Bristol, UK",51.454513,-2.58791,"BRISTOL, UK"
"London, UK",51.5073509,-0.1277583,LONDON
"Quezon City, Metro Manila, Philippines",14.6760413,121.0437003,QUEZON CITY
"198 Whitton Rd, Twickenham TW2 7BA, UK",51.4552304,-0.3408068,"DOHA, QATAR / TWICKENHAM, UK"
"1623 Colorado Dr, East Lansing, MI 48823, USA",42.751748,-84.4883865,ANY WHERE IN THE WORLD
"Johannesburg, South Africa",-26.2041028,28.0473051,"JOHANNESBURG, SOUTH AFRICA"
Israel,31.046051,34.851612,ISRAEL
"Dallas, TX, USA",32.7766642,-96.7969879,DALLAS FROM A DC-9 AT NIGHT
"Portsmouth, UK",50.8197675,-1.0879769,"PORTSMOUTH, ENGLAND"
"Manchester, UK",53.4807593,-2.2426305,"MANCHESTER, ENGLAND"
"Boston, MA, USA",42.3600825,-71.0588801,"BOSTON, MA"
"Paris, France",48.856614,2.3522219,PARIS
"Mookgopong, South Africa",-24.5164709,28.7173968,"MOOKGOPHONG, SOUTH AFRICA"
"England, UK",52.3555177,-1.1743197,"ENGLAND, UNITED KINGDOM"
"Turin, Metropolitan City of Turin, Italy",45.070312,7.6868565,"TURIN, ITALY."
"Portsmouth, UK",50.8197675,-1.0879769,"PORTSMOUTH, ENGLAND"
"Houston, TX, USA",29.7604267,-95.3698028,HOUSTON TX
"London, UK",51.5073509,-0.1277583,LONDON
Philippines,12.879721,121.774017,PHILIPPINES
Mexico,23.634501,-102.552784,M�XICO
"England, UK",52.3555177,-1.1743197,ENGLAND
South Africa,-30.559482,22.937506,SOUTH AFRICA
Bulgaria,42.733883,25.48583,BULGARIA
Canada,56.130366,-106.346771,CANADA
"533 S Rockford Ave, Tulsa, OK 74120, USA",36.153243,-95.971072,WORLDWIDE
"London, UK",51.5073509,-0.1277583,LONDON
"Shropshire, UK",52.7063657,-2.7417849,SHROPSHIRE
"Newmarket Rd, Cambridge CB5 8RS, UK",52.2123018,0.1627436,"ELY, CAMBRIDGE, NEWMARKET,"
"Manila, Metro Manila, Philippines",14.5995124,120.9842195,"MANILA, PH"
"London Borough of Ealing, UK",51.5250257,-0.3415002,"EALING, LONDON"
"London, UK",51.5073509,-0.1277583,"LONDON, ENGLAND"
"New Delhi, Delhi, India",28.6139391,77.2090212,NEW DELHI
"Bandara Udara Internasional ADI SOEMARMO, Bandara Lama Adi Soemarmo, Jalan Padang Golf, Ngesrep, Ngemplak, Kabupaten Boyolali, Jawa Tengah 57375, Indonesia",-7.5160459,110.7554785,SOC - CGK
"Shiga Prefecture, Japan",35.0045306,135.8685899,OSAKA KYOTO SHIGA
"Canary Islands, Spain",28.2915637,-16.6291304,"CANARY ISLANDS, SPAIN"
Ireland,53.1423672,-7.6920536,IRELAND
"321 N Pass Ave Suite 100, Burbank, CA 91505, USA",34.1553065,-118.3468303,WHERE I'M MEANT TO BE.
"Adelaide SA, Australia",-34.9284989,138.6007456,ADELAIDE
"Wolverhampton, UK",52.586973,-2.12882,WOLVERHAMPTON
Australia,-25.274398,133.775136,AUSTRALIA
"Washington, DC, USA",38.9071923,-77.0368707,"WASHINGTON, DC"
"Glasgow, UK",55.864237,-4.251806,GLASGOW
"London, UK",51.5073509,-0.1277583,"LONDON, ENGLAND"
"Madrid, Spain",40.4167754,-3.7037902,"MADRID, COMUNIDAD DE MADRID"
"Cookstown BT80, UK",54.6418158,-6.7443895,"COOKSTOWN, CO. TYRONE"
"3333 Fifth Ave, Pittsburgh, PA 15213, USA",40.4394832,-79.9639145,CARLOW
"São Paulo, State of São Paulo, Brazil",-23.5505199,-46.6333094,"S�O PAULO, BRASIL"
"Liverpool, UK",53.4083714,-2.9915726,LIVERPOOL
"Sheffield, UK",53.381129,-1.470085,"SHEFFIELD, ENGLAND"
"Bridgeville, PA, USA",40.3561805,-80.1100556,"BRIDGEVILLE, PA"
"Hull, UK",53.7456709,-0.3367413,"HULL, ENGLAND"
"Midtown, Atlanta, GA, USA",33.783315,-84.3831166,"MIDTOWN, ATLANTA"
"151 W 54th St, New York, NY 10019, USA",40.7634378,-73.9805417,"LONDON, NEW YORK"
"Cambridgeshire, UK",52.2052973,0.1218195,"CAMBRIDGESHIRE, UK"
"Loughborough, UK",52.772099,-1.206166,LOUGHBOROUGH
"Phuket, Thailand",7.9519331,98.3380884,PHUKET
Malaysia,4.210484,101.975766,MALAYSIA
"Halesowen, UK",52.449845,-2.050526,"HALESOWEN, ENGLAND"
"25 Newman St, Fitzrovia, London W1T 1PN, UK",51.517907,-0.1355356,"25 NEWMAN STREET, LONDON, W1T 1PN"
"Whitchurch SY13, UK",52.968716,-2.682045,"WHITCHURCH, ENGLAND"
"Montevideo, Montevideo Department, Uruguay",-34.9011127,-56.1645314,"MONTEVIDEO, URUGUAY"
"Leicester, UK",52.6368778,-1.1397592,"LEICESTER, UK"
"13775 72 Ave #6, Surrey, BC V3W 9Y9, Canada",49.134347,-122.839186,6 SHOPS AROUND SURREY
"Ub, Serbia",44.4860173,20.1099338,<U+0423><U+0411>
"Surrey, UK",51.3147593,-0.5599501,<U+0E0A><U+0E37><U+0E48><U+0E2D><U+0E1E><U+0E23><U+0E32><U+0E27><U+0E19><U+0E30><U+0001F437>ND SURREY
"Hitchin, UK",51.94921,-0.283414,"HITCHIN, HERTS"
"New York, NY, USA",40.7127753,-74.0059728,"NEW YORK, NY"
"Belfast, UK",54.597285,-5.93012,"BELFAST, NORTHERN IRELAND"
"Hubert, NC 28539, USA",34.7137729,-77.2452328,"HUBERT, NC"
"England, UK",52.3555177,-1.1743197,"ENGLAND, UNITED KINGDOM"
"Durban, South Africa",-29.8586804,31.0218404,"DURBAN, SOUTH AFRICA"
"Cebu City, Cebu, Philippines",10.3156992,123.8854366,"CEBU CITY, PHILIPPINES"
"Columbus, OH, USA",39.9611755,-82.9987942,"COLUMBUS, OH"
"Cape Town, South Africa",-33.9248685,18.4240553,CAPE TOWN
"Wales, UK",52.1306607,-3.7837117,CYMRU
"Mexico City, CDMX, Mexico",19.4326077,-99.133208,"DISTRITO FEDERAL, M�XICO"
"45 O'Connor St, Ottawa, ON K1P 1A4, Canada",45.4212705,-75.6980876,MEXIQUE
"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.139003,101.686855,"KUALA LUMPUR, WILAYAH PERSEKUTUAN KUALA LUMPUR"
"Belfast, UK",54.597285,-5.93012,"BELFAST, NORTHERN IRELAND"
"England, UK",52.3555177,-1.1743197,ENGLAND
"Washington, DC, USA",38.9071923,-77.0368707,WASHINGTON DC
Philippines,12.879721,121.774017,PHILIPPINES
"London, UK",51.5073509,-0.1277583,"LONDON, ENGLAND"
"Los Angeles, CA, USA",34.0522342,-118.2436849,LOS ANGELES
"London, UK",51.5073509,-0.1277583,LONDON
"Nanaimo, BC, Canada",49.1658836,-123.9400648,"NANAIMO, BRITISH COLUMBIA"
"Linlithgow EH49, UK",55.9716266,-3.6025847,LINLITHGOW
"Wolverhampton, UK",52.586973,-2.12882,WOLVERHAMPTON
"London, UK",51.5073509,-0.1277583,LONDON
United Kingdom,55.378051,-3.435973,UNITED KINGDOM
"Worcestershire, UK",52.2545225,-2.2668382,WORCESTERSHIRE
"Little Switzerland, Wear Bay Rd, Folkestone CT19 6QA, UK",51.0907256,1.2020404,SWITZERLAND.. FRANCE.. ENGLAND
"England, UK",52.3555177,-1.1743197,"ENGLAND, UNITED KINGDOM"
"Hudson River Greenway, New York, NY 10019, USA",40.7689718,-73.995924,"MIAMI, NEW YORK CITY"
"Dublin, Ireland",53.3498053,-6.2603097,DUBLIN
"Dublin, Ireland",53.3498053,-6.2603097,DUBLIN
Japan,36.204824,138.252924,<U+65E5><U+672C>
"Paris, France",48.856614,2.3522219,PARIS
"London, UK",51.5073509,-0.1277583,"LONDON, ENGLAND"
"England, UK",52.3555177,-1.1743197,"ENGLAND, UNITED KINGDOM"
"Cheshire, UK",53.2326344,-2.6103158,CHESHIRE
United Kingdom,55.378051,-3.435973,UK
"Wilmslow SK9, UK",53.328,-2.229409,WILMSLOW CHESHIRE
"Queens, NY, USA",40.7282239,-73.7948516,"QUEENS, NY"
"Austin, TX, USA",30.267153,-97.7430608,"AUSTIN, TX"
"Madrid, Spain",40.4167754,-3.7037902,"MADRID, SPAIN"
"New York, NY, USA",40.7127753,-74.0059728,"NEW YORK, USA"
"Romford, UK",51.577076,0.178319,"ROMFORD, ESSEX"
"New York, NY, USA",40.7127753,-74.0059728,"NEW YORK, NY"
"London, UK",51.5073509,-0.1277583,"LONDON, UK"
"London, UK",51.5073509,-0.1277583,LONDON
"London, UK",51.5073509,-0.1277583,"LONDON, ENGLAND"
"Huddersfield, UK",53.645792,-1.7850351,HUDDERSFIELD-COUNTRYSIDE LAND
"Ledsham, Ellesmere Port CH66 0NF, UK",53.2634793,-2.9649658,"LEDSHAM, ENGLAND"
"New York, NY, USA",40.7127753,-74.0059728,NYC
"Mexico City, CDMX, Mexico",19.4326077,-99.133208,"DISTRITO FEDERAL, M�XICO"
"Surrey Rd, Southampton, PA 18966, USA",40.1909515,-75.044052,SURREY / SOUTHAMPTON
"Santa Ana, CA, USA",33.7454725,-117.867653,"SANTA ANA, CA"
United Kingdom,55.378051,-3.435973,UK
"Donetsk, Donetsk Oblast, Ukraine",48.015883,37.80285,"<U+0414><U+041E><U+041D><U+0415><U+0426><U+041A>, <U+0423><U+041A><U+0420><U+0410><U+0418><U+041D><U+0410>"
Germany,51.165691,10.451526,DEUTSCHLAND
"London, UK",51.5073509,-0.1277583,"LONDON, ENGLAND"
"Scotland, UK",56.4906712,-4.2026458,SCOTLAND
Dubai - United Arab Emirates,25.2048493,55.2707828,"DUBAI, UNITED ARAB EMIRATES"
"East Sussex, UK",50.908596,0.2494235,EAST SUSSEX
United States,37.09024,-95.712891,UNITED STATES
"Dublin, Ireland",53.3498053,-6.2603097,"DUBLIN, IRELAND"
"Ilkley, UK",53.925486,-1.822817,ILKLEY
"Akita, Akita Prefecture, Japan",39.7199218,140.1035697,<U+79CB><U+7530> <U+79CB><U+7530><U+5E02>
"London, UK",51.5073509,-0.1277583,"LONDON, ENGLAND"
"Waukee, IA, USA",41.6119903,-93.8855768,"WAUKEE, IA"
"São Paulo, State of São Paulo, Brazil",-23.5505199,-46.6333094,S�O PAULO - BRASIL
United States,37.09024,-95.712891,"PACIFIC NORTHWEST, USA"
"Paris, France",48.856614,2.3522219,"PARIS, FRANCE"
"Edinburgh, UK",55.953252,-3.188267,"EDINBURGH, UK"
"Horley, UK",51.173516,-0.172109,"HORLEY, ENGLAND"
"6 Experian Way, Nottingham NG2 1EP, UK",52.9410933,-1.1612185,"EAST MIDLANDS, ENGLAND"
United Kingdom,55.378051,-3.435973,UNITED KINGDOM
"B-07-02, Jalan Ss22/23,, Damansara Jaya, 47400 Petaling Jaya, Selangor, Malaysia",3.12719,101.616484,DAI5Y_MY
Aseer Province Saudi Arabia,19.0969062,42.8637875,<U+0641><U+064A> <U+2764> <U+0639><U+0633><U+064A><U+0631>
"Birmingham, UK",52.486243,-1.890401,"BIRMINGHAM, ENGLAND"
"4601 Madison Ave, Kansas City, MO 64112, USA",39.04395,-94.597027,GLOBAL
"Jakarta, Indonesia",-6.17511,106.8650395,"DKI JAKARTA, INDONESIA"
"Aykley Heads Business Centre, B6532, Durham DH1 5TS, UK",54.7882162,-1.5881933,"NORTH EAST, ENGLAND"
"Cape Town, South Africa",-33.9248685,18.4240553,CAPE TOWN
"London, UK",51.5073509,-0.1277583,LONDON
Thailand,15.870032,100.992541,THAILAND
"Los Angeles, CA, USA",34.0522342,-118.2436849,"LOS ANGELES, CA"
"Mardore, 69240 Thizy-les-Bourgs, France",46.069762,4.338642,"69240 MARDORE, FRANCE"
United Kingdom,55.378051,-3.435973,UK
"London, UK",51.5073509,-0.1277583,"LONDON, ENGLAND"
"Shiga Prefecture, Japan",35.0045306,135.8685899,<U+6ECB><U+8CC0>
"Peterborough, UK",52.5694985,-0.2405299,"PETERBOROUGH, ENGLAND"
"Neverland, Bracklin Rd, Keelogenasause, Edgeworthstown, Co. Longford, Ireland",53.7053782,-7.6152815,NEVERLAND
"Manchester, UK",53.4807593,-2.2426305,"MANCHESTER, ENGLAND"
"128 N Main St, Sand Springs, OK 74063, USA",36.138286,-96.1103695,EARTH
"Columbus, OH, USA",39.9611755,-82.9987942,"COLUMBUS, OHIO"
"Bath, UK",51.375801,-2.3599039,"BATH, ENGLAND"
"Metro Manila, Philippines",14.6090537,121.0222565,"NATIONAL CAPITAL REGION, REPUBLIC OF THE PHILIPPINES"
"Santiago, Santiago Metropolitan Region, Chile",-33.4488897,-70.6692655,"SANTIAGO, CHILE"
"Kirkby Lonsdale, Carnforth LA6, UK",54.204919,-2.60171,"KIRKBY LONSDALE, ENGLAND"
"Mutsu, Aomori Prefecture, Japan",41.2927457,141.1834755,<U+9752><U+68EE><U+770C> <U+3080><U+3064><U+5E02>
"Folkestone, UK",51.081397,1.169456,"FOLKESTONE, ENGLAND"
"West Yorkshire, UK",53.8108176,-1.76261,"WEST YORKSHIRE, UK"
"Montreal, QC, Canada",45.5016889,-73.567256,MONTR�AL
"London, UK",51.5073509,-0.1277583,LONDON
"London, UK",51.5073509,-0.1277583,"LONDON, ENGLAND"
"Stockton-on-Tees, UK",54.5704551,-1.3289821,"STOCKTON-ON-TEES, ENGLAND"
"Dublin, Ireland",53.3498053,-6.2603097,"DUBLIN, IRELAND"
"Birmingham, UK",52.486243,-1.890401,"BIRMINGHAM, WEST MIDLANDS"
"Buenos Aires, Argentina",-34.6036844,-58.3815591,BUENOS AIRES
"Aguascalientes, Mexico",21.8852562,-102.2915677,"AGUASCALIENTES, M�XICO"
"Londonderry, UK",54.9966124,-7.3085748,"LONDONDERRY, NORTHERN IRELAND"
"Northern Ireland, UK",54.7877149,-6.4923145,NORTHERN IRELAND
"2945 Westwood Blvd, Los Angeles, CA 90064, USA",34.0308554,-118.4215656,"2945 WESTWOOD BLVD, CA 90064"
United Kingdom,55.378051,-3.435973,UNITED KINGDOM
India,20.593684,78.96288,<U+092D><U+093E><U+0930><U+0924>
"Middlesbrough, UK",54.574227,-1.234956,"MIDDLESBROUGH, ENGLAND"
"Kentucky, USA",37.8393332,-84.2700179,"KENTUCKY, USA"
"Budapest, Hungary",47.497912,19.040235,"BUDAPEST, MAGYARORSZ�G"
"Budapest, Hungary",47.497912,19.040235,BUDAPEST
"Johannesburg, South Africa",-26.2041028,28.0473051,"JOHANNESBURG, SOUTH AFRICA"
"252 Main St, Somerset, WI 54025, USA",45.1236113,-92.6755669,IN MY HAPPY PLACE.
"154 Krog St NE #130, Atlanta, GA 30307, USA",33.7589188,-84.3640829,EVERYWHERE
"London, UK",51.5073509,-0.1277583,LONDON
"Derby, KS 67037, USA",37.5455735,-97.2689331,DERBY
"Prestatyn, UK",53.336512,-3.407613,PRESTATYN
"Tema, Ghana",5.7348119,0.0302354,"TEMA,GHANA"
"South West England, UK",50.7772135,-3.999461,"SOUTH WEST, ENGLAND"
"London, UK",51.5073509,-0.1277583,LONDON
"London, UK",51.5073509,-0.1277583,"UK , LONDON"
United Kingdom,55.378051,-3.435973,UK
"Status City, Clough Rd, Hull HU6 7PT, UK",53.7688134,-0.3415061,NE ENGLAND WORLDWIDE
"Newcastle upon Tyne, UK",54.978252,-1.61778,"NEWCASTLE UPON TYNE, ENGLAND"
"Szczecin, Poland",53.4285438,14.5528116,"SZCZECIN, POLAND"
"Cincinnati, OH, USA",39.1031182,-84.5120196,"CINCINNATI, OHIO"
"Hartlepool, UK",54.691745,-1.212926,HARTLEPOOL
"Royal Tunbridge Wells, Tunbridge Wells, UK",51.132377,0.263695,TUNBRIDGE WELLS
"Girlguiding NWE Region Headquarters, Guiding Road, Preston PR2 5PD, UK",53.7897081,-2.6541002,NORTH WEST ENGLAND
"Wales, UK",52.1306607,-3.7837117,"WALES, UNITED KINGDOM"
"Brits, South Africa",-25.6099895,27.7959713,"BRITS, SOUTH AFRICA"
"Birmingham, AL, USA",33.5206608,-86.80249,BIRMINGHAM
United Kingdom,55.378051,-3.435973,UNITED KINGDOM
"Michigan, USA",44.3148443,-85.6023643,MICHIGAN
"Helensburgh, UK",56.002318,-4.734014,HELENSBURGH
United Kingdom,55.378051,-3.435973,UK
"Barnsley, UK",53.55263,-1.479726,UK�BARNSLEY
"Seoul, South Korea",37.566535,126.9779692,<U+B300><U+D55C><U+BBFC><U+AD6D> <U+C11C><U+C6B8>
"Newcastle upon Tyne, UK",54.978252,-1.61778,"NEWCASTLE UPON TYNE, ENGLAND"
Hong Kong,22.396428,114.109497,HONG KONG
"151 W 54th St, New York, NY 10019, USA",40.7634378,-73.9805417,LONDON/NYC
"Portsmouth, UK",50.8197675,-1.0879769,"PORTSMOUTH, ENGLAND"
"London, UK",51.5073509,-0.1277583,"LONDON, ENGLAND"
"5025 Harding Pike, Nashville, TN 37205, USA",36.1049162,-86.8646954,BONNIE SCOTLAND
"Bucharest, Romania",44.4267674,26.1025384,"BUCURESTI, ROM�NIA"
"London, UK",51.5073509,-0.1277583,LONDON
"London, UK",51.5073509,-0.1277583,"LONDON, ENGLAND"
"Dublin, Ireland",53.3498053,-6.2603097,"DUBLIN, IRELAND"
"Chorley, UK",53.653511,-2.632596,CHORLEY
United Kingdom,55.378051,-3.435973,BRITAIN.
"Rotherham, UK",53.4326035,-1.3635009,SHEFFIELD/ROTHERHAM
United Kingdom,55.378051,-3.435973,UNITED KINGDOM
"Sheffield, UK",53.381129,-1.470085,"SHEFFIELD, ENGLAND"
"London, UK",51.5073509,-0.1277583,"LONDON, ENGLAND"
Japan,36.204824,138.252924,JAPAN
"England, UK",52.3555177,-1.1743197,"ENGLAND, UNITED KINGDOM"
"Portsmouth, UK",50.8197675,-1.0879769,"PORTSMOUTH, ENGLAND"
Japan,36.204824,138.252924,<U+65E5><U+672C>
United Kingdom,55.378051,-3.435973,UK
"England, UK",52.3555177,-1.1743197,"ENGLAND, UNITED KINGDOM"
"Dhaka, Bangladesh",23.810332,90.4125181,"DHAKA, BANGLADESH"
United Kingdom,55.378051,-3.435973,UNITED KINGDOM
"1650 Sycamore Ave suite 33, Bohemia, NY 11716, USA",40.7856625,-73.1247431,DELIVERY WORLDWIDE
"Lahore, Punjab, Pakistan",31.5203696,74.3587473,LAHORE
"Tokyo, Japan",35.7090259,139.7319925,<U+6771><U+4EAC>
"London, UK",51.5073509,-0.1277583,COVENTRY | BIRMINGHAM | LONDON
South Africa,-30.559482,22.937506,SOUTH AFRICA
"London, UK",51.5073509,-0.1277583,"LONDON, ENGLAND"
"London, UK",51.5073509,-0.1277583,"LONDON, ENGLAND"
"London, UK",51.5073509,-0.1277583,LONDON
United Kingdom,55.378051,-3.435973,UNITED KINGDOM
"Seoul, South Korea",37.566535,126.9779692,SEOUL
"Aberdeenshire, UK",57.2868723,-2.3815684,ABERDEENSHIRE
"Birmingham Dr, Richmond, CA 94806, USA",37.9733751,-122.3356821,COSTA DEL BIRMINGHAM
United Kingdom,55.378051,-3.435973,UK & WORLDWIDE
"Royal Tunbridge Wells, Tunbridge Wells, UK",51.132377,0.263695,"ROYAL TUNBRIDGE WELLS, ENGLAND"
"Basingstoke, UK",51.26654,-1.0923964,"BASINGSTOKE, ENGLAND"
"Rock Island, IL, USA",41.5094771,-90.5787476,"ROCK ISLAND, IL"
United Kingdom,55.378051,-3.435973,UK
"Durban, South Africa",-29.8586804,31.0218404,"DURBAN, SOUTH AFRICA"
"Tokyo, Japan",35.7090259,139.7319925,<U+6771><U+4EAC>
"London, UK",51.5073509,-0.1277583,"LONDON, ENGLAND"
"Manchester, UK",53.4807593,-2.2426305,MANCHESTER
"Mpumalanga, South Africa",-25.565336,30.5279096,MPUMALANGA
Philippines,12.879721,121.774017,PHILIPPINES
"Lincoln, UK",53.230688,-0.540579,"LINCOLN , ENGLAND"
"England, UK",52.3555177,-1.1743197,"WORLD <U+0001F334>, ENGLAND"
"Ouagadougou, Burkina Faso",12.3714277,-1.5196603,UAGADUGU
"Leicester, UK",52.6368778,-1.1397592,LEICESTER
"Dhaka, Bangladesh",23.810332,90.4125181,"DHAKA, BANGLADESH"
"Glasgow, UK",55.864237,-4.251806,GLASGOW
"London, UK",51.5073509,-0.1277583,LONDON
"Lucan, Co. Dublin, Ireland",53.3572085,-6.4498488,FLAT SHARING WITH LORD LUCAN
"England, UK",52.3555177,-1.1743197,ENGLAND
"Manchester, UK",53.4807593,-2.2426305,MANCHESTER UK
"Huddersfield, UK",53.645792,-1.7850351,"HUDDERSFIELD, WEST YORKSHIRE"
United Kingdom,55.378051,-3.435973,UNITED KINGDOM
"London, UK",51.5073509,-0.1277583,LONDON
"Boston, MA, USA",42.3600825,-71.0588801,"BOSTON, MA"
South Africa,-30.559482,22.937506,SOUTH AFRICA
"Bronx, NY, USA",40.8447819,-73.8648268,"BRONX, NY"
"Amman, Jordan",31.9453666,35.9283716,"AMMAN , JORDAN"
United Kingdom,55.378051,-3.435973,UNITED KINGDOM
"Antwerp, Belgium",51.2194475,4.4024643,"BELGI�, ANTWERPEN"
"08100 Nuoro, Province of Nuoro, Italy",40.3202421,9.3264377,NUORO
Belgium,50.503887,4.469936,BELGIUM
"Cambridge, UK",52.205337,0.121817,"CAMBRIDGE, ENGLAND"
"Paris, France",48.856614,2.3522219,"PARIS, FRANCE"
"Wallington, UK",51.363978,-0.151845,"WALLINGTON, SURREY"
"England, UK",52.3555177,-1.1743197,"ENGLAND, UNITED KINGDOM"
"England, UK",52.3555177,-1.1743197,"ENGLAND, UNITED KINGDOM"
Al Ahsa Saudi Arabia,22.2954496,50.6793759,"<U+0627><U+0644><U+0627><U+062D><U+0633><U+0627><U+0621>, <U+0627><U+0644><U+0645><U+0645><U+0644><U+0643><U+0629> <U+0627><U+0644><U+0639><U+0631><U+0628><U+064A><U+0629> <U+0627><U+0644><U+0633><U+0639><U+0648><U+062F><U+064A><U+0629>"
"Ipswich, UK",52.056736,1.14822,"IPSWICH, ENGLAND"
"Belfast, UK",54.597285,-5.93012,"BELFAST, NORTHERN IRELAND"
"Glasgow, UK",55.864237,-4.251806,GLASGOW
"London, UK",51.5073509,-0.1277583,"LONDON, ENGLAND"
"Midlands Province, Zimbabwe",-19.0552009,29.6035495,MIDLANDS
"London, UK",51.5073509,-0.1277583,LONDON
"Houston, TX, USA",29.7604267,-95.3698028,"HOUSTON, TEXAS USA"
"Chorlton-cum-Hardy, Manchester M21, UK",53.444858,-2.27829,"CHORLTON, MANCHESTER, UK"
"Bacoor, Cavite, Philippines",14.4129931,120.9736786,"BACOOR, CALABARZON"
"533 S Rockford Ave, Tulsa, OK 74120, USA",36.153243,-95.971072,WORLDWIDE
"I-44 & Sr 43 S., Joplin, MO 64804, United States",37.0077659,-94.5522083,SLEEPING
Turkey,38.963745,35.243322,T�RKIYE
"999 Waterside Dr # 2500, Norfolk, VA 23510, USA",36.8432173,-76.2877469,LONDON AND NORFOLK
"Vienna, Austria",48.2081743,16.3738189,"VIENNA, AUSTRIA, EUROPE"
"Aykley Heads Business Centre, B6532, Durham DH1 5TS, UK",54.7882162,-1.5881933,"NORTH EAST, ENGLAND"
"Lancashire, UK",53.7632254,-2.7044052,LANCASHIRE
Chile,-35.675147,-71.542969,CHILE
"Cornwall House, Cornwall Gardens, Kensington, London SW7 4AE, UK",51.4968938,-0.1878107,LONDON/ CORNWALL
Germany,51.165691,10.451526,GERMANY
"Southampton, UK",50.9097004,-1.4043509,SOUTHAMPTON
"Toronto, ON, Canada",43.653226,-79.3831843,"TORONTO, ONTARIO"
"Buenos Aires, Argentina",-34.6036844,-58.3815591,BUENOS AIRES - ARG
"370 Santa Monica Pier, Santa Monica, CA 90401, USA",34.0088352,-118.4978862,NEW YORK/LOS ANGELES
"Sale, UK",53.425561,-2.323702,"SALE, MANCHESTER"
"Norwich, UK",52.6308859,1.297355,"NORWICH, ENGLAND"
China,35.86166,104.195397,CHINA
"Nairobi, Kenya",-1.2920659,36.8219462,"NAIROBI, KENYA"
"Mexico City, CDMX, Mexico",19.4326077,-99.133208,MEXICO DF
"Wulfruna St, Wolverhampton WV1 1LY, United Kingdom",52.587214,-2.127525,"WOLVERHAMPTON, DUBAI"
"Leeds, UK",53.8007554,-1.5490774,"LEEDS, ENGLAND"
"London, UK",51.5073509,-0.1277583,LONDON
"Gloucester, UK",51.8642449,-2.238156,"GLOUCESTER , ENGLAND"
"Taipei, Taiwan",25.0329694,121.5654177,"<U+53F0><U+5317><U+5E02>, <U+53F0><U+7063>"
"Cheshire, UK",53.2326344,-2.6103158,CHESHIRE
"Durham, UK",54.77525,-1.584852,"DURHAM, ENGLAND"
"Liverpool, UK",53.4083714,-2.9915726,LIVERPOOL
"Houston, TX, USA",29.7604267,-95.3698028,"HOUSTON, TX"
"Southern California, CA, USA",34.9592083,-116.419389,SO CAL
"Burlington, ON, Canada",43.3255196,-79.7990319,"BURLINGTON, ONTARIO"
South Africa,-30.559482,22.937506,SOUTH AFRICA
"Abingdon OX14, UK",51.67078,-1.2879529,"ABINGDON, OXFORDSHIRE"
"Wokingham, UK",51.410457,-0.833861,"WOKINGHAM, ENGLAND"
"Shropshire, UK",52.7063657,-2.7417849,SALOP
"10900 Yamaha Way, Cypress, CA 90630, USA",33.8044237,-118.0154353,LOS ANGELES/ORANGE COUNTY
"London Ave & Melbourne Pl, Glasgow G40, UK",55.8460769,-4.2032267,LONDON AND MELBOURNE
"Veria 591 32, Greece",40.5193618,22.2052162,"VEROIA, GREECE"
"1735 Ellington Rd, South Windsor, CT 06074, USA",41.8256163,-72.5563007,MANCHESTER BORN & BRED <U+0001F498>
"301 Fremont St, Las Vegas, NV 89101, USA",36.1691042,-115.1432334,THE D
"Fruit Heights, UT 84037, USA",41.0321662,-111.9021622,"FRUIT HEIGHTS, UT"
"Portland, ME, USA",43.6590993,-70.2568189,"PORTLAND, ME"
"Grand Rapids, MI, USA",42.9633599,-85.6680863,"GRAND RAPIDS, MI"
"Salt Lake City, UT, USA",40.7607793,-111.8910474,"SALT LAKE CITY, UT"
Mecca Saudi Arabia,21.3890824,39.8579118,<U+0645><U+0643><U+0629> <U+0627><U+0644><U+0645><U+0643><U+0631><U+0645><U+0629>
"Voula, Greece",37.8453451,23.7604527,"<U+0392><U+039F><U+038E><U+039B><U+0391>, <U+0391><U+03A4><U+03A4><U+0399><U+039A><U+0389>"
"Dunstable, UK",51.885644,-0.52039,"DUNSTABLE, ENGLAND"
United Kingdom,55.378051,-3.435973,UNITED KINGDOM
Vietnam,14.058324,108.277199,VIETNAM
"Taichung City, Taiwan",24.1477358,120.6736482,"TAICHUNG CITY, TAIWAN"
"Chicago, IL, USA",41.8781136,-87.6297982,"CHICAGO, IL"
"Tamworth, UK",52.633584,-1.691032,TAMWORTH UK
"Toronto, ON, Canada",43.653226,-79.3831843,"TORONTO, ONTARIO"
"London, UK",51.5073509,-0.1277583,LONDON
"Edinburgh, UK",55.953252,-3.188267,EDINBURGH
"Fairfax, VA, USA",38.8462236,-77.3063733,"FAIRFAX, VA"
"4231 Balboa Ave #330, San Diego, CA 92117, USA",32.8112737,-117.1997836,HOPEWORLD
"Cork, Ireland",51.8968917,-8.4863157,CORK IRELAND
"Leicester, UK",52.6368778,-1.1397592,"LEICESTER, ENGLAND"
"Worcester, UK",52.193636,-2.221575,"WORCESTER, ENGLAND"
"Glasgow, UK",55.864237,-4.251806,"GLASGOW, SCOTLAND"
